source_key,target_key,ref_type
ackrill:1971a,ackrill:1997,further_ref
ackrill:1971a,vlastos:1971,depends_on
ackrill:1973,ackrill:1997,further_ref
ackrill:1973a,ackrill:1997,further_ref
ackrill:1973a,lee_en-etal:1973,depends_on
ackrill:1975,ackrill:1995,further_ref
ackrill:1975,ackrill:1997,further_ref
ackrill:1975,rorty_ao:1981,further_ref
ackrill:1978,ackrill:1997,further_ref
ackrill:1978a,ackrill:1997,further_ref
ackrill:1978a,rorty_ao:1981,further_ref
ackrill:1981,ackrill:1997,further_ref
ackrill:1981,berti_e:1981,depends_on
ackrill:1985,dorter:1982,further_ref
ackrill:1991,ackrill:1997,further_ref
ackrill:1991,blumenthal_h-robinson:1991,depends_on
ackrill:1994,ackrill:1997,further_ref
ackrill:1994,alberti_a:1994,depends_on
ackrill:1995,hoeffe:1995a,depends_on
ackrill:1997a,ackrill:1997,depends_on
ackrill:1997b,ackrill:1997,depends_on
acquaviva_p:2016,carrara-etal:2016,depends_on
acton_hb:1956,lewis_hd:1956,depends_on
acton_hb:1970,vesey_gna:1970,depends_on
acuna_p:2014,galavotti-etal:2014,depends_on
aczel-feferman:1980,seldin_jp-hindley:1980,depends_on
aczel-lunnon:1991,barwise-etal:1991,depends_on
aczel:1975,kanger:1975,depends_on
aczel:1977,barwise:1977,depends_on
aczel:1978,macintyre_a-etal:1978,depends_on
aczel:1982,troelstra-vandalen:1982,depends_on
aczel:1986,marcus_rb-etal:1986,depends_on
aczel:1988,chierchia-etal:1988,depends_on
aczel:1994,gabbay_dm:1994,depends_on
aczel:2009,lindstroem_s-etal:2009,depends_on
aczel:2011,devidi_d-etal:2011,depends_on
adairtoteff:2003,baldwin_t:2003,depends_on
adam_g:1978,schwartz_ge-shapiro:1978,depends_on
adamczewski:1984,tymieniecka:1984a,depends_on
adami_e:2016,garcia_o-etal:2016,depends_on
adams_al:2000,socialjusticegroup:2000,depends_on
adams_cj-etal:2023a,adams_cj-etal:2023,depends_on
adams_cj:2023,adams_cj-etal:2023,depends_on
adams_em:1957,hall_ew:1956,further_ref
adams_em:1998,hahn_le:1998,depends_on
adams_em:2000,midwest:2000,depends_on
adams_ew:1959,henkin_le-etal:1959,depends_on
adams_ew:1966a,hintikka_j-suppes:1966,depends_on
adams_ew:1973,suppes:1973,depends_on
adams_ew:1974a,heyting:1974,depends_on
adams_ew:1976,harper_w-hooker:1976,depends_on
adams_ew:1982,asquith-nickles:1982,depends_on
adams_ew:1986a,traugott-etal:1986,depends_on
adams_ew:1988,harper_w-skyrms:1988,depends_on
adams_ew:1988a,fine_a-leplin:1988,depends_on
