id,institution_key,name_latex,name_unicode,default_address
165,department_of_computer_science_university_of_toronto,"Department of Computer Science, University of Toronto","Department of Computer Science, University of Toronto",
166,knowledge_systems_laboratory_stanford_university,"Knowledge Systems Laboratory, Stanford University","Knowledge Systems Laboratory, Stanford University",
167,department_of_computer_science_university_of_delaware,"Department of Computer Science, University of Delaware","Department of Computer Science, University of Delaware",
168,artificial_intelligence_laboratory,Artificial Intelligence Laboratory,Artificial Intelligence Laboratory,
169,institute_for_language_logic_and_information_university_of_amsterdam,"Institute for Language, Logic and Information, University of Amsterdam","Institute for Language, Logic and Information, University of Amsterdam",
170,center_for_research_in_computing_technology_harvard_university,"Center for Research in Computing Technology, Harvard University","Center for Research in Computing Technology, Harvard University",
171,representation_of_knowledge_un_logic_laboratort_department_of_computer_and_information_science_link_o_ping_university,"Representation of Knowledge un Logic Laboratort, Department of Computer and Information Science, Link{\""o}ping University","Representation of Knowledge un Logic Laboratort, Department of Computer and Information Science, Linköping University",
173,sri_artificial_intelligence_center,{SRI} Artificial Intelligence Center,SRI Artificial Intelligence Center,
174,department_of_philosophy_the_university_of_melbourne,"Department of Philosophy, The University of Melbourne","Department of Philosophy, The University of Melbourne",
175,computer_science_department_university_of_rochester,"Computer Science Department, University of Rochester","Computer Science Department, University of Rochester",
176,ifomis_universit_a_t_leipzig,"IFOMIS, Universit{\""a}t Leipzig","IFOMIS, Universität Leipzig",
177,universit_e_du_qu_e_bec_a_trois_rivi_e_res,Universit{\'e} du Qu{\'e}bec {\`a} Trois-Rivi{\`e}res,Université du Québec à Trois-Rivières,
