bibkey,note_perso,note_stock,note_missing,change_request,dltc_copyediting_note,todo_general
ackrill:1971,,"in file \citep{vlastos:1971},in file \citep{ackrill:1997}",,,,
ackrill:1971a,,"in file \citep{vlastos:1971},in file \citep{ackrill:1997}",,,,
ackrill:1973,,"file, in file \citep{ackrill:1997}",,,,
ackrill:1973a,in GE,in file \citep{ackrill:1997},,,,
ackrill:1975,,"file, in file \citep{rorty_ao:1981},in file \citep{ackrill:1997}",,,,
ackrill:1978,,in file \citep{ackrill:1997},,,,
ackrill:1978a,,"in file \citep{rorty_ao:1981},in file \citep{ackrill:1997}",,,,
ackrill:1981,,"file, in file \citep{ackrill:1997}",,,,
ackrill:1985,,file,,,,
ackrill:1991,,in file \citep{ackrill:1997},,,,
ackrill:1994,,in file \citep{ackrill:1997},,,,
ackrill:1995,,file,,,,
ackrill:1997,,file,,,,
ackrill:1997a,,in file \citep{ackrill:1997},,,,
ackrill:1997b,,in file \citep{ackrill:1997},,,,
acquaviva_p:2016,in GE,in file \citep{carrara-etal:2016},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780198716327.001.0001,,
acquisto:2013,,file,,WP8-COLL:ADD-REFS,,
acton_hb:1932,,file,,,,
acton_hb:1935,,file,,,,
acton_hb:1936,,file,,,,
acton_hb:1938,,file,,,,
acton_hb:1948,in GE,,,,,
acton_hb:1956,in GE,,,,,
acton_hb:1970,,in file \citep{vesey_gna:1970},,,,
acuna_p:2014,,in file \citep{galavotti-etal:2014},,,,
aczel-etal:1993,LOG,,,WP6-GET-PDF,,
aczel-feferman:1980,,,,,DIAL,
aczel-lunnon:1991,in LOG,,,,,
aczel:1975,,in file \citep{kanger:1975},,,,
aczel:1977,,in file \citep{barwise:1977},,,,
aczel:1978,,in file \citep{macintyre_a-etal:1978},,,,
aczel:1980,,in file \citep{barwise-etal:1980},,,,
aczel:1982,,in file \citep{troelstra-vandalen:1982},,,,
aczel:1983,LOG,,,,,
aczel:1986,,in file \citep{marcus_rb-etal:1986},,,,
aczel:1988,,in file \citep{chierchia-etal:1988},,,,
aczel:1994,,in file \citep{gabbay_dm:1994},,,,
aczel:1996,,in file \citep{seligman_j-westerstahl:1996},,,,
aczel:2009,,in file \citep{lindstroem_s-etal:2009},,,,
aczel:2011,,in file \citep{devidi_d-etal:2011},,,,
adairtoteff:2003,,in file \citep{baldwin_t:2003},,,,
adam_c-tannery:1996,GE,file,,,,
adam_g:1978,,in file \citep{schwartz_ge-shapiro:1978},,,,
adam_m:1996,,file,,,,
adam_ma:2003,,file,,,,
adamcik-wilmers:2014,,file,,,,
adamczewski:1984,,in file \citep{tymieniecka:1984a},,,,
adami_e:2016,,in file \citep{garcia_o-etal:2016},,,,
adams_b:2017,,,,WP4-GET-PDF (ISBN:9780262035248 / 9780262335850,,
adams_cj-etal:2023,,file,,,,
adams_cj-etal:2023a,,in file \citep{adams_cj-etal:2023},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oso/9780197655696.001.0001,,
adams_cj:2023,,in file \citep{adams_cj-etal:2023},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oso/9780197655696.001.0001,,
adams_d:2014,,file,,,,
adams_d:2017,,file,,,,
adams_dan:2018,,file,,,,
adams_em:1948,,file,,,,
adams_em:1949,,file,,,,
adams_em:1950,,file,,,,
adams_em:1956,,file,,,,
adams_em:1957,,file,,,,
adams_em:1998,,in file \citep{hahn_le:1998},,,,
adams_em:2002,,file,,,,
adams_ew:1959,,in file \citep{henkin_le-etal:1959},,,,
adams_ew:1966a,,in file \citep{hintikka_j-suppes:1966},,,,
adams_ew:1973,,in file \citep{suppes:1973},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1007/978-94-010-2686-4,,
adams_ew:1974a,,in file \citep{heyting:1974},,,,
adams_ew:1975,,file,,,,
adams_ew:1976,,in file \citep{harper_w-hooker:1976},,,,
adams_ew:1982,,file,,,,
adams_ew:1986a,,in file \citep{traugott-etal:1986},,,,
adams_ew:1987,,file,,,,
adams_ew:1988,,in file \citep{harper_w-skyrms:1988},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1007/978-94-009-2865-7,,
adams_ew:1991,in GE,,,,,
adams_ew:1993,y,,,,,
adams_ew:1994,,in file \citep{humphreys_p:1994},,,,
adams_ew:1996a,,file,,,,
adams_ew:1997,LOG,file,,,,
adams_ew:1997a,y,,,,,
adams_ew:1998,y,,,,,
adams_ew:1998b,y,,,,,
adams_ew:2002,y,,,,,
adams_f-aizawa:2009,,in file \citep{symons_j-calvo:2009},,,,
adams_f-beighley:2011,,in file \citep{garvey_j:2011},,,,
adams_f-clarke:2005,y,file,,,DIAL,
adams_f-dietrich:2004,,file,,,,
adams_f-enc:1988,y,,,,,
adams_f-etal:1997,y,,,,,
adams_f-etal:1999,,file,,,,
adams_f-etal:2012,,file,,,,
adams_f-fuller:2007,,file,,,,
