id,journal_key,name_latex,name_unicode,issn_print,issn_electronic
1606,journal-of-the-philosophy-of-history,Journal of the Philosophy of History,Journal of the Philosophy of History,,
1607,journal-of-theological-studies,Journal of Theological Studies,Journal of Theological Studies,,
1608,journal-of-theological-studies-ns,"Journal of Theological Studies, N.S.","Journal of Theological Studies, N.S.",,
1609,journal-of-theoretical-biology,Journal of Theoretical Biology,Journal of Theoretical Biology,,
1610,journal-of-thought,Journal of Thought,Journal of Thought,,
1611,kairos-revista-de-filosofia-ciencia,Kairos.~Revista de Filosofia \& Ci{\^e}ncia,Kairos. Revista de Filosofia & Ciência,,
1612,kant-studies-online,Kant Studies Online,Kant Studies Online,,
1613,kant-yearbook,Kant Yearbook,Kant Yearbook,,
1614,kant-studien,Kant-Studien,Kant-Studien,,
1615,kantian-review,Kantian Review,Kantian Review,,
1616,kierkegaardiana,Kierkegaardiana,Kierkegaardiana,,
1617,kinesis-carbondale,Kinesis (Carbondale),Kinesis (Carbondale),,
1618,klesis,Kl{\'e}sis,Klésis,,
1619,krisis,Krisis,Krisis,,
1620,kriterion-journal-of-philosophy,Kriterion -- Journal of Philosophy,Kriterion – Journal of Philosophy,,
1621,kriterion-revista-de-filosofia,Kriterion: Revista de Filosofia,Kriterion: Revista de Filosofia,,
1622,ksiega-pamiatkowa-pierwszego-polskiego-zjazdu-matematycznego-annales-de-la-societe-polonaise-de-mathematique-supplement,Ksi{\k{e}}ga Pami{\k{a}}tkowa Pierwszego Polskiego Zjazdu Matematycznego / Annales de la Soci{\'e}t{\'e} Polonaise de Math{\'e}matique (supplement),Księga Pamiątkowa Pierwszego Polskiego Zjazdu Matematycznego / Annales de la Société Polonaise de Mathématique (supplement),,
1623,kwartalnik-filozoficzny,Kwartalnik Filozoficzny,Kwartalnik Filozoficzny,,
1624,kybernetes,Kybernetes,Kybernetes,,
1625,lage-de-la-science,L'{\^A}ge de la science,L'Âge de la science,,
1626,lannee-philosophique,L'ann{\'e}e philosophique,L'année philosophique,,
1627,lenseignement-mathematique,L'enseignement math{\'e}matique,L'enseignement mathématique,,
1628,lenseignement-philosophique,L'enseignement philosophique,L'enseignement philosophique,,
1629,la-petite-revue-de-philosophie,La petite revue de philosophie,La petite revue de philosophie,,
1630,langages,Langages,Langages,,
1631,language,Language,Language,,
1632,laval-theologique-et-philosophique,Laval Th{\'e}ologique et Philosophique,Laval Théologique et Philosophique,,
1633,law-and-philosophy,Law and Philosophy,Law and Philosophy,,
1634,law-ethics-and-philosophy,"Law, Ethics and Philosophy","Law, Ethics and Philosophy",,
1635,le-debat,Le D{\'e}bat,Le Débat,,
1636,legal-theory,Legal Theory,Legal Theory,,
1637,leibniz-review,Leibniz Review,Leibniz Review,,
1638,les-etudes-philosophiques,Les {\'E}tudes Philosophiques,Les Études Philosophiques,,
1639,les-ateliers-de-lethique-the-ethics-forum,Les ateliers de l'{\'e}thique / The Ethics Forum,Les ateliers de l'éthique / The Ethics Forum,,
1640,les-cahiers-de-science-et-vie,Les Cahiers de Science et Vie,Les Cahiers de Science et Vie,,
1641,les-papiers-du-college-international-de-philosophie,Les papiers du Coll{\`e}ge International de Philosophie,Les papiers du Collège International de Philosophie,,
1642,les-recherches-philosophiques,Les Recherches Philosophiques,Les Recherches Philosophiques,,
1643,lingua,Lingua,Lingua,,
1644,lingua-e-stile,Lingua e Stile,Lingua e Stile,,
1645,linguistic-analysis,Linguistic Analysis,Linguistic Analysis,,
1646,linguistic-and-philosophical-investigations,Linguistic and Philosophical Investigations,Linguistic and Philosophical Investigations,,
1647,linguistic-inquiry,Linguistic Inquiry,Linguistic Inquiry,,
1648,linguistic-review,Linguistic Review,Linguistic Review,,
1649,linguistics-and-philosophy,Linguistics and Philosophy,Linguistics and Philosophy,,
1650,locke-newsletter,Locke Newsletter,Locke Newsletter,,
1651,locke-studies,Locke Studies,Locke Studies,,
1652,logic-and-logical-philosophy,Logic and Logical Philosophy,Logic and Logical Philosophy,,
1653,logic-journal-of-the-interest-group-in-pure-and-applied-logics-igpl,Logic Journal of the Interest Group in Pure and Applied Logics (IGPL),Logic Journal of the Interest Group in Pure and Applied Logics (IGPL),,
1654,logica-e-filosofia-della-scienza-oggi,"Logica e Filosofia della Scienza, Oggi","Logica e Filosofia della Scienza, Oggi",,
1655,logica-universalis,Logica Universalis,Logica Universalis,,
1656,logical-studies,Logical studies,Logical studies,,
1657,logique-et-analyse,Logique et Analyse,Logique et Analyse,,
1658,logique-et-analyse-ns,Logique et Analyse [N.S.],Logique et Analyse [N.S.],,
1659,logos-philosophic-issues-in-christian-perspective,Logos (Philosophic Issues in Christian Perspective),Logos (Philosophic Issues in Christian Perspective),,
1660,logos-episteme,Logos \& Episteme,Logos & Episteme,,
1661,logos-a-journal-of-catholic-thought-and-culture,Logos: A Journal of Catholic Thought and Culture,Logos: A Journal of Catholic Thought and Culture,,
1662,logos-zeitschrift-fur-systematische-philosophie-nf,"Logos: Zeitschrift f{\""u}r systematische Philosophie N.F.",Logos: Zeitschrift für systematische Philosophie N.F.,,
1663,logos-internationale-zeitschrift-fur-philosophie-der-kultur,"Logos.~Internationale Zeitschrift f{\""u}r Philosophie der Kultur",Logos. Internationale Zeitschrift für Philosophie der Kultur,,
1664,methexis,M{\'e}thexis,Méthexis,,
1665,man-and-world,Man and World,Man and World,,
1666,manuscripta,Manuscripta,Manuscripta,,
1667,manuscrito,Manuscrito,Manuscrito,,
1668,mathematical-logic-quarterly,Mathematical Logic Quarterly,Mathematical Logic Quarterly,,
1669,mathematische-annalen,Mathematische Annalen,Mathematische Annalen,,
1670,mathematische-zeitschrift,Mathematische Zeitschrift,Mathematische Zeitschrift,,
1671,mediaeval-studies,Mediaeval Studies,Mediaeval Studies,,
1672,medieval-and-renaissance-studies,Medieval and Renaissance Studies,Medieval and Renaissance Studies,,
1673,medieval-philosophy-and-theology,Medieval Philosophy and Theology,Medieval Philosophy and Theology,,
1675,merkur,Merkur,Merkur,,
1676,mesotes-jahrbuch-fur-philosophischen-ost-west-dialog,"Mesotes.~Jahrbuch f{\""u}r philosophischen Ost-West Dialog",Mesotes. Jahrbuch für philosophischen Ost-West Dialog,,
1677,meta-research-in-hermeneutics-phenomenology-and-practical-philosophy,"Meta: Research in Hermeneutics, Phenomenology, and Practical Philosophy","Meta: Research in Hermeneutics, Phenomenology, and Practical Philosophy",,
1678,metaphilosophy,Metaphilosophy,Metaphilosophy,,
1679,metaphysica,Metaphysica,Metaphysica,,
1680,metaphysica-special-issue,Metaphysica -- special issue,Metaphysica – special issue,,
1681,metascience,Metascience,Metascience,,
1682,methodology-and-science,Methodology and Science,Methodology and Science,,
1683,methodos,Methodos,Methodos,,
1684,methodus-international-journal-for-modern-philosophy,Methodus.~International Journal for Modern Philosophy,Methodus. International Journal for Modern Philosophy,,
1685,mind,Mind,Mind,,
1686,mind-and-language,Mind and Language,Mind and Language,,
1687,minds-and-machines,Minds and Machines,Minds and Machines,,
1688,minerva,Minerva,Minerva,,
1689,minerva-an-internet-journal-of-philosophy,Minerva -- An Internet Journal of Philosophy,Minerva – An Internet Journal of Philosophy,,
1690,modern-logic,Modern Logic,Modern Logic,,
1691,mysl-wspolczesna,My{\'s}l Wsp{\'o}{\l}czesna,Myśl Współczesna,,
1692,natural-language-semantics,Natural Language Semantics,Natural Language Semantics,,
1693,natural-law-forum,Natural Law Forum,Natural Law Forum,,
1694,nature,Nature,Nature,,
1695,nature-and-system,Nature and System,Nature and System,,
1696,neue-hefte-fur-philosophie,"Neue Hefte f{\""u}r Philosophie",Neue Hefte für Philosophie,,
1697,neue-zeitschrift-fur-systematische-theologie-und-religionsphilosophie,"Neue Zeitschrift f{\""u}r systematische Theologie und Religionsphilosophie",Neue Zeitschrift für systematische Theologie und Religionsphilosophie,,
1698,new-blackfriars,New Blackfriars,New Blackfriars,,
1699,new-german-critique,New German Critique,New German Critique,,
1700,new-left-review,New Left Review,New Left Review,,
1701,new-literary-history,New Literary History,New Literary History,,
1702,nietzsche-studien,Nietzsche-Studien,Nietzsche-Studien,,
1703,nous,No{\^u}s,Noûs,,
1704,nordic-journal-of-philosophical-logic,Nordic Journal of Philosophical Logic,Nordic Journal of Philosophical Logic,,
1705,notices-of-the-american-mathematical-society,Notices of the American Mathematical Society,Notices of the American Mathematical Society,,
1706,notre-dame-journal-of-formal-logic,Notre Dame Journal of Formal Logic,Notre Dame Journal of Formal Logic,,
1707,notre-dame-journal-of-law-ethics-public-policy,"Notre Dame Journal of Law, Ethics \& Public Policy","Notre Dame Journal of Law, Ethics & Public Policy",,
1708,notre-dame-philosophical-reviews,Notre Dame Philosophical Reviews,Notre Dame Philosophical Reviews,,
1709,nuovi-studi-aristotelici,Nuovi studi aristotelici,Nuovi studi aristotelici,,
1710,organon,Organon,Organon,,
1711,organon-f,Organon F,Organon F,,
1712,oxford-bibliographies-online,Oxford Bibliographies Online,Oxford Bibliographies Online,,
1713,oxford-journal-of-legal-studies,Oxford Journal of Legal Studies,Oxford Journal of Legal Studies,,
1714,oxford-philosophy-handbooks-online,Oxford Philosophy Handbooks Online,Oxford Philosophy Handbooks Online,,
1715,pacific-philosophical-quarterly,Pacific Philosophical Quarterly,Pacific Philosophical Quarterly,,
1716,paideia-brockport-ny-state-university-college,"Paideia (Brockport, N.Y.: State University College)","Paideia (Brockport, N.Y.: State University College)",,
1717,pakistan-philosophical-journal,Pakistan Philosophical Journal,Pakistan Philosophical Journal,,
1718,papers-of-the-linguistic-section-of-the-lodz-scientific-society,Papers of the Linguistic Section of the {\L}{\'o}d{\'z} Scientific Society,Papers of the Linguistic Section of the Łódź Scientific Society,,
1719,pensamiento,Pensamiento,Pensamiento,,
1720,personalist-forum,Personalist Forum,Personalist Forum,,
1721,perspectives-on-science,Perspectives on Science,Perspectives on Science,,
1722,perspektiven-der-philosophie,Perspektiven der Philosophie,Perspektiven der Philosophie,,
1723,phanomenologische-forschungen,"Ph{\""a}nomenologische Forschungen",Phänomenologische Forschungen,,
1724,phenomenology-and-mind,Phenomenology and Mind,Phenomenology and Mind,,
1725,phenomenology-and-the-cognitive-sciences,Phenomenology and the Cognitive Sciences,Phenomenology and the Cognitive Sciences,,
1726,phi-zero,Phi Z{\'e}ro,Phi Zéro,,
1727,philo,Philo,Philo,,
1728,philosopher-revue-pour-tous,Philosopher: revue pour tous,Philosopher: revue pour tous,,
1729,philosophia,Philosophia,Philosophia,,
1730,philosophia-athens,Philosophia (Athens),Philosophia (Athens),,
1731,philosophia-belgrade,Philosophia (Belgrade),Philosophia (Belgrade),,
1732,philosophia-christi,Philosophia Christi,Philosophia Christi,,
1733,philosophia-mathematica,Philosophia Mathematica,Philosophia Mathematica,,
1734,philosophia-naturalis,Philosophia Naturalis,Philosophia Naturalis,,
1735,philosophia-reformata,Philosophia Reformata,Philosophia Reformata,,
1736,philosophia-scientiae-travaux-dhistoire-et-de-philosophie-des-sciences,Philosophia Scientiae.~Travaux d'histoire et de philosophie des sciences,Philosophia Scientiae. Travaux d'histoire et de philosophie des sciences,,
1737,philosophia-philosophical-quarterly-of-israel,Philosophia: Philosophical Quarterly of Israel,Philosophia: Philosophical Quarterly of Israel,,
1738,philosophica,Philosophica,Philosophica,,
1739,philosophical-books,Philosophical Books,Philosophical Books,,
1740,philosophical-explorations,Philosophical Explorations,Philosophical Explorations,,
1741,philosophical-inquiries,Philosophical Inquiries,Philosophical Inquiries,,
1742,philosophical-inquiry,Philosophical Inquiry,Philosophical Inquiry,,
1743,philosophical-investigations,Philosophical Investigations,Philosophical Investigations,,
1744,philosophical-magazine,Philosophical Magazine,Philosophical Magazine,,
1745,philosophical-papers,Philosophical Papers,Philosophical Papers,,
1746,philosophical-psychologist,Philosophical Psychologist,Philosophical Psychologist,,
1747,philosophical-psychology,Philosophical Psychology,Philosophical Psychology,,
1748,philosophical-studies,Philosophical Studies,Philosophical Studies,,
1750,philosophical-studies-maynooth,Philosophical Studies (Maynooth),Philosophical Studies (Maynooth),,
1751,philosophical-topics,Philosophical Topics,Philosophical Topics,,
1752,philosophical-transactions-of-the-royal-society,Philosophical Transactions of the Royal Society,Philosophical Transactions of the Royal Society,,
1753,philosophical-transactions-of-the-royal-society-of-london-series-b-biological-sciences,"Philosophical Transactions of the Royal Society of London.~Series B, Biological Sciences","Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences",,
1754,philosophical-transactions-of-the-royal-society-series-a-physical-sciences-and-engineering,"Philosophical Transactions of the Royal Society, Series A: Physical Sciences and Engineering","Philosophical Transactions of the Royal Society, Series A: Physical Sciences and Engineering",,
1755,philosophical-writings,Philosophical Writings,Philosophical Writings,,
1756,philosophie,Philosophie,Philosophie,,
1757,philosophiech-the-swiss-portal-for-philosophy,"Philosophie.ch, the Swiss Portal for Philosophy","Philosophie.ch, the Swiss Portal for Philosophy",,
1758,philosophies,Philosophies,Philosophies,,
1759,philosophiques,Philosophiques,Philosophiques,,
1760,philosophische-monatshefte,Philosophische Monatshefte,Philosophische Monatshefte,,
1761,philosophische-rundschau,Philosophische Rundschau,Philosophische Rundschau,,
1762,philosophischer-anzeiger,Philosophischer Anzeiger,Philosophischer Anzeiger,,
1763,philosophischer-literaturanzeiger,Philosophischer Literaturanzeiger,Philosophischer Literaturanzeiger,,
1764,philosophisches-jahrbuch,Philosophisches Jahrbuch,Philosophisches Jahrbuch,,
1765,philosophy,Philosophy,Philosophy,,
1766,philosophy-supplement,Philosophy -- Supplement,Philosophy – Supplement,,
1767,philosophy-geography,Philosophy \& Geography,Philosophy & Geography,,
1768,philosophy-public-affairs,Philosophy \& Public Affairs,Philosophy & Public Affairs,,
1769,philosophy-rhetoric,Philosophy \& Rhetoric,Philosophy & Rhetoric,,
1770,philosophy-technology,Philosophy \& Technology,Philosophy & Technology,,
1771,philosophy-and-analysis,Philosophy and Analysis,Philosophy and Analysis,,
1772,philosophy-and-literature,Philosophy and Literature,Philosophy and Literature,,
1773,philosophy-and-phenomenological-research,Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,
1774,philosophy-and-social-criticism,Philosophy and Social Criticism,Philosophy and Social Criticism,,
1775,philosophy-and-the-history-of-science-taiwan,Philosophy and the History of Science (Taiwan),Philosophy and the History of Science (Taiwan),,
1776,philosophy-and-theology,Philosophy and Theology,Philosophy and Theology,,
1777,philosophy-compass,Philosophy Compass,Philosophy Compass,,
1778,philosophy-east-and-west,Philosophy East and West,Philosophy East and West,,
1779,philosophy-forum,Philosophy Forum,Philosophy Forum,,
1780,philosophy-in-review,Philosophy in Review,Philosophy in Review,,
1781,philosophy-in-science,Philosophy in Science,Philosophy in Science,,
1782,philosophy-of-science,Philosophy of Science,Philosophy of Science,,
1783,philosophy-of-the-social-sciences,Philosophy of the Social Sciences,Philosophy of the Social Sciences,,
1784,philosophy-research-archives,Philosophy Research Archives,Philosophy Research Archives,,
1785,philosophy-today,Philosophy Today,Philosophy Today,,
1786,philosophy-psychiatry-and-psychology,"Philosophy, Psychiatry, and Psychology","Philosophy, Psychiatry, and Psychology",,
1787,philosophy-theory-and-practice-in-biology,"Philosophy, Theory, and Practice in Biology","Philosophy, Theory, and Practice in Biology",,
1788,phronesis,Phronesis,Phronesis,,
1789,polemic,Polemic,Polemic,,
1790,polis-the-journal-for-ancient-greek-and-roman-political-thought,Polis: The Journal for Ancient Greek and Roman Political Thought,Polis: The Journal for Ancient Greek and Roman Political Thought,,
1791,polish-journal-of-philosophy,Polish Journal of Philosophy,Polish Journal of Philosophy,,
1792,political-theory,Political Theory,Political Theory,,
1793,politics-philosophy-and-economics,"Politics, Philosophy and Economics","Politics, Philosophy and Economics",,
1794,prace-filozoficzne,Prace Filozoficzne,Prace Filozoficzne,,
1795,prace-towarzystwa-naukowego-warszawskiego-wydzial-iii-nauk-matematyccznofizycznych-travaux-de-la-societe-des-sciences-et-des-lettres-de-varsovie-classe-iii-sciences-mathematiques-et-physiques,"Prace Towarzystwa Naukowego Warszawskiego, Wydzia{\l} III, nauk matematyccznofizycznych (Travaux de la Soci{\'e}t{\'e} des Sciences et des Lettres de Varsovie, Classe III, Sciences Math{\'e}matiques et Physiques)","Prace Towarzystwa Naukowego Warszawskiego, Wydział III, nauk matematyccznofizycznych (Travaux de la Société des Sciences et des Lettres de Varsovie, Classe III, Sciences Mathématiques et Physiques)",,
1796,prace-z-logiki,Prace z Logiki,Prace z Logiki,,
1797,pragmatics-and-cognition,Pragmatics and Cognition,Pragmatics and Cognition,,
1798,presenca-filosofica,Presen{\c{c}}a Filosofica,Presença Filosofica,,
1799,priens-occidens-sciences-mathematiques-et-philosophie-de-lantiquite-a-lage-classique,"Priens -- Occidens: Sciences, math{\'e}matiques et philosophie de l'antiquit{\'e} {\`a} l'{\^a}ge classique","Priens – Occidens: Sciences, mathématiques et philosophie de l'antiquité à l'âge classique",,
1800,prima-philosophia,Prima Philosophia,Prima Philosophia,,
1801,principios,Princ{\'{\i}}pios,Princípios,,
1802,principia,Principia,Principia,,
1803,proceedings-and-addresses-of-the-american-philosophical-association,Proceedings and Addresses of the American Philosophical Association,Proceedings and Addresses of the American Philosophical Association,,
1804,proceedings-of-the-ieee,Proceedings of the {IEEE},Proceedings of the IEEE,,
1805,proceedings-of-the-american-catholic-philosophical-association,Proceedings of the American Catholic Philosophical Association,Proceedings of the American Catholic Philosophical Association,,
1806,proceedings-of-the-aristotelian-society,Proceedings of the Aristotelian Society,Proceedings of the Aristotelian Society,,
1807,proceedings-of-the-aristotelian-society-supplementary-volume,"Proceedings of the Aristotelian Society, Supplementary Volume","Proceedings of the Aristotelian Society, Supplementary Volume",,
1808,proceedings-of-the-boston-area-colloquium-in-ancient-philosophy,Proceedings of the Boston Area Colloquium in Ancient Philosophy,Proceedings of the Boston Area Colloquium in Ancient Philosophy,,
1809,proceedings-of-the-british-academy,Proceedings of the British Academy,Proceedings of the British Academy,,
1810,proceedings-of-the-cambridge-philosophical-society,Proceedings of the Cambridge Philosophical Society,Proceedings of the Cambridge Philosophical Society,,
1811,proceedings-of-the-national-academy-of-sciences-of-the-usa,Proceedings of the National Academy of Sciences of the U.S.A.,Proceedings of the National Academy of Sciences of the U.S.A.,,
1812,proceedings-of-the-royal-society-of-london,Proceedings of the Royal Society of London,Proceedings of the Royal Society of London,,
1813,proceedings-of-the-royal-society-of-london-series-a-mathematical-physical-and-engineering-sciences,"Proceedings of the Royal Society of London.~Series A: Mathematical, Physical and Engineering Sciences","Proceedings of the Royal Society of London. Series A: Mathematical, Physical and Engineering Sciences",,
1814,proceedings-of-the-royal-society-of-london-series-b-biological-sciences,Proceedings of the Royal Society of London.~Series B: Biological Sciences,Proceedings of the Royal Society of London. Series B: Biological Sciences,,
1815,proceedings-of-the-russell-society-sydney-university,Proceedings of the Russell Society (Sydney University),Proceedings of the Russell Society (Sydney University),,
1816,proceedings-of-the-society-for-medieval-logic-and-metaphysics,Proceedings of the Society for Medieval Logic and Metaphysics,Proceedings of the Society for Medieval Logic and Metaphysics,,
1817,process-studies,Process Studies,Process Studies,,
1818,protosociology,Protosociology,Protosociology,,
1819,protosoziologie,Protosoziologie,Protosoziologie,,
1820,public-affairs-quarterly,Public Affairs Quarterly,Public Affairs Quarterly,,
1821,publictions-electroniques-de-philosophi-scientie,Public@tions Electroniques de Philosophi@ Scienti@e,Public@tions Electroniques de Philosophi@ Scienti@e,,
1822,qq-report-from-the-center-for-philosophy-and-public-policy,QQ: Report from the Center for Philosophy and Public Policy,QQ: Report from the Center for Philosophy and Public Policy,,
1823,quaestio-annuario-di-storia-della-metafisica,Quaestio.~Annuario di storia della metafisica,Quaestio. Annuario di storia della metafisica,,
1824,quaestiones-disputatae,Quaestiones Disputatae,Quaestiones Disputatae,,
1825,quidditas-online-journal-of-the-rocky-mountain-medieval-and-renaissance-association,Quidditas: Online Journal of the Rocky Mountain Medieval and Renaissance Association,Quidditas: Online Journal of the Rocky Mountain Medieval and Renaissance Association,,
1826,raisons-pratiques,Raisons Pratiques,Raisons Pratiques,,
1827,raritan,Raritan,Raritan,,
1828,ratio-iuris,Ratio Iuris,Ratio Iuris,,
1829,recherches-de-philosophie,Recherches de Philosophie,Recherches de Philosophie,,
1830,recherches-de-theologie-et-philosophie-medievales,Recherches de th{\'e}ologie et philosophie m{\'e}di{\'e}vales,Recherches de théologie et philosophie médiévales,,
1831,recherches-sur-la-philosophie-et-le-langage-cahiers-du-groupe-de-recherche-sur-la-philosophie-et-le-langage,Recherches sur la philosophie et le langage.~Cahiers du Groupe de Recherche sur la philosophie et le langage,Recherches sur la philosophie et le langage. Cahiers du Groupe de Recherche sur la philosophie et le langage,,
1832,recherches-sur-le-xvi-ie-siecle,Recherches sur le XVIIe Si{\`e}cle,Recherches sur le XVIIe Siècle,,
1833,rechtsphilosophische-hefte,Rechtsphilosophische Hefte,Rechtsphilosophische Hefte,,
1834,rechtstheorie,Rechtstheorie,Rechtstheorie,,
1835,reid-studies,Reid Studies,Reid Studies,,
1836,religious-studies,Religious Studies,Religious Studies,,
1837,reports-on-mathematical-logic,Reports on Mathematical Logic,Reports on Mathematical Logic,,
1838,reports-on-philosophy-cracovie,Reports on Philosophy (Cracovie),Reports on Philosophy (Cracovie),,
1839,res-philosophica,Res Philosophica,Res Philosophica,,
1840,research-in-phenomenology,Research in Phenomenology,Research in Phenomenology,,
1841,rethinking-marxism-a-journal-of-economics-culture-society,"Rethinking Marxism: A Journal of Economics, Culture \& Society","Rethinking Marxism: A Journal of Economics, Culture & Society",,
1842,review-of-contemporary-philosophy,Review of Contemporary Philosophy,Review of Contemporary Philosophy,,
1843,review-of-international-philosophy,Review of International Philosophy,Review of International Philosophy,,
1844,review-of-philosophy-and-psychology,Review of Philosophy and Psychology,Review of Philosophy and Psychology,,
1845,revista-augustiniana,Revista augustiniana,Revista augustiniana,,
1846,revista-critica-di-storia-della-filosofica,Revista Critica di Storia della Filosofica,Revista Critica di Storia della Filosofica,,
1847,revista-de-filosofia-universidad-de-chile,Revista de Filosof{\'{\i}}a (Universidad de Chile),Revista de Filosofía (Universidad de Chile),,
1848,revista-de-filosofia,Revista de filosofia,Revista de filosofia,,
1849,revista-filosofica-de-coimbra,Revista Filos{\'o}fica de Coimbra,Revista Filosófica de Coimbra,,
1850,revista-latinoamericana-de-filosofia,Revista Latinoamericana de Filosof{\'{\i}}a,Revista Latinoamericana de Filosofía,,
1851,revista-portuguesa-de-filosofia,Revista Portuguesa de Filosofia,Revista Portuguesa de Filosofia,,
1852,revista-venezolana-de-filosofia,Revista venezolana de filosofia,Revista venezolana de filosofia,,
1853,revue-dhistoire-des-mathematiques,Revue d'histoire des math{\'e}matiques,Revue d'histoire des mathématiques,,
1854,revue-d-histoire-des-sciences,Revue d'Histoire des Sciences,Revue d'Histoire des Sciences,,
1855,revue-d-histoire-et-de-philosophie-religieuse,Revue d'Histoire et de Philosophie Religieuse,Revue d'Histoire et de Philosophie Religieuse,,
1856,revue-de-l-enseignement-philosophique,Revue de l'Enseignement philosophique,Revue de l'Enseignement philosophique,,
1857,revue-de-metaphysique-et-de-morale,Revue de M{\'e}taphysique et de Morale,Revue de Métaphysique et de Morale,,
1858,revue-de-philosophie-ancienne,Revue de philosophie ancienne,Revue de philosophie ancienne,,
1859,revue-de-philosophie-ns,Revue de Philosophie n.s.,Revue de Philosophie n.s.,,
1860,revue-de-synthese,Revue de Synth{\`e}se,Revue de Synthèse,,
1861,revue-de-theologie-et-de-philosophie,Revue de Th{\'e}ologie et de Philosophie,Revue de Théologie et de Philosophie,,
1862,revue-des-etudes-augustiniennes,Revue des Etudes Augustiniennes,Revue des Etudes Augustiniennes,,
1863,revue-des-sciences-philosophiques-et-theologiques,Revue des sciences Philosophiques et Th{\'e}ologiques,Revue des sciences Philosophiques et Théologiques,,
1864,revue-internationale-de-philosophie,Revue Internationale de Philosophie,Revue Internationale de Philosophie,,
1865,revue-metaphysique,Revue m{\'e}taphysique,Revue métaphysique,,
1866,revue-neoscolastique-de-philosophie,Revue n{\'e}oscolastique de philosophie,Revue néoscolastique de philosophie,,
1867,revue-philosophique,Revue Philosophique,Revue Philosophique,,
1868,revue-philosophique-de-la-france-et-de-letranger,Revue philosophique de la France et de l'{\'e}tranger,Revue philosophique de la France et de l'étranger,,
1869,revue-philosophique-de-louvain,Revue philosophique de Louvain,Revue philosophique de Louvain,,
1870,revue-roumaine-de-philosophie,Revue Roumaine de Philosophie,Revue Roumaine de Philosophie,,
1871,revue-thomiste,Revue Thomiste,Revue Thomiste,,
1872,revue-universitaire-de-science-morale-mons-belgique,"Revue universitaire de science morale (Mons, Belgique)","Revue universitaire de science morale (Mons, Belgique)",,
1873,richmond-journal-of-philosophy,Richmond Journal of Philosophy,Richmond Journal of Philosophy,,
1874,rivista-critica-di-storia-della-filosofia,Rivista Critica di Storia della Filosofia,Rivista Critica di Storia della Filosofia,,
1875,rivista-di-estetica,Rivista di Estetica,Rivista di Estetica,,
1876,rivista-di-filosofia,Rivista di filosofia,Rivista di filosofia,,
1877,rivista-di-filosofia-neo-scolastica,Rivista di Filosofia Neo-Scolastica,Rivista di Filosofia Neo-Scolastica,,
1878,rivista-di-storia-della-filosofia,Rivista di Storia della Filosofia,Rivista di Storia della Filosofia,,
1879,rivista-internazionale-della-filosofia-del-diritto,Rivista internazionale della filosofia del diritto,Rivista internazionale della filosofia del diritto,,
1880,rivista-internazionale-di-filosofia-e-psicologia,Rivista internazionale di filosofia e psicologia,Rivista internazionale di filosofia e psicologia,,
1881,rivista-rosminiana-di-filosofia-e-di-cultura,Rivista Rosminiana di filosofia e di cultura,Rivista Rosminiana di filosofia e di cultura,,
1882,rivista-teologica-di-lugano,Rivista Teologica di Lugano,Rivista Teologica di Lugano,,
1883,rozprawny-filozoficzne,Rozprawny Filozoficzne,Rozprawny Filozoficzne,,
1884,ruch-filozoficzny,Ruch Filozoficzny,Ruch Filozoficzny,,
1885,rue-descartes,Rue Descartes,Rue Descartes,,
1886,russell-the-journal-of-bertrand-russell-studies-new-series,"Russell: The Journal of Bertrand Russell Studies, New Series","Russell: The Journal of Bertrand Russell Studies, New Series",,
1887,russell-the-journal-of-the-bertrand-russell-archives,Russell: The Journal of the Bertrand Russell Archives,Russell: The Journal of the Bertrand Russell Archives,,
1888,sintese,S{\'{\i}}ntese,Síntese,,
1889,sadhana,S{\={a}}dhan{\={a}},Sādhanā,,
1890,salzburger-jahrbuch-fur-philosophie,"Salzburger Jahrbuch f{\""u}r Philosophie",Salzburger Jahrbuch für Philosophie,,
1891,sapientia-universidad-catolica-argentina-facultad-de-filosofia-y-letras-buenos-aires,"Sapientia (Universidad Catolica Argentina, Facultad de Filosofia y Letras, Buenos Aires)","Sapientia (Universidad Catolica Argentina, Facultad de Filosofia y Letras, Buenos Aires)",,
1892,sapienza-rivista-di-filosofia-e-di-teologia,"Sapienza, Rivista di Filosofia e di Teologia","Sapienza, Rivista di Filosofia e di Teologia",,
1893,sats-northern-european-journal-of-philosophy,SATS -- Northern European Journal of Philosophy,SATS – Northern European Journal of Philosophy,,
1894,science,Science,Science,,
1895,scientia,Scientia,Scientia,,
1896,scientia-rivista-di-scienza,Scientia (Rivista di Scienza),Scientia (Rivista di Scienza),,
1897,scientific-american,Scientific American,Scientific American,,
1898,scottish-journal-of-theology,Scottish Journal of Theology,Scottish Journal of Theology,,
1899,semantics-and-pragmatics,Semantics and Pragmatics,Semantics and Pragmatics,,
1900,semantikos,Semantikos,Semantikos,,
1901,semiotica,Semiotica,Semiotica,,
1902,semiotik,Semiotik,Semiotik,,
1903,sistemi-intelligenti,Sistemi Intelligenti,Sistemi Intelligenti,,
1904,skepsis,Skepsis,Skepsis,,
1905,skeptical-inquirer,Skeptical Inquirer,Skeptical Inquirer,,
