id,series_key,name_latex,name_unicode
931,livre_de_poche_biblio_essais,Livre de poche ; Biblio essais,Livre de poche ; Biblio essais
932,kantstudien_erg_a_nzungshefte,"Kantstudien.~Erg{\""a}nzungshefte",Kantstudien. Ergänzungshefte
933,acta_philosophica_fennica,Acta Philosophica Fennica,Acta Philosophica Fennica
934,folio,Folio,Folio
935,tributes,Tributes,Tributes
936,elenchos_collana,Elenchos Collana,Elenchos Collana
937,focus_series,Focus Series,Focus Series
938,studies_in_logic_and_argumentation,Studies in Logic and Argumentation,Studies in Logic and Argumentation
939,collection_dialectica,"Collection ``Dialectica''\,",Collection “Dialectica”
940,philosophies,Philosophies,Philosophies
941,logic_argumentation_and_reasoning,"Logic, Argumentation and Reasoning","Logic, Argumentation and Reasoning"
942,studies_in_history_of_philosophy,Studies in History of Philosophy,Studies in History of Philosophy
943,fondazione_carlo_marchi_quaderni,Fondazione Carlo Marchi.~Quaderni,Fondazione Carlo Marchi. Quaderni
944,juda_i_smes,"Juda{\""{\i}}smes",Judaïsmes
945,polish_contemporary_philosophy_and_philosophical_humanities,Polish Contemporary Philosophy and Philosophical Humanities,Polish Contemporary Philosophy and Philosophical Humanities
946,international_library_of_philosophy,International Library of Philosophy,International Library of Philosophy
947,continuum_philosophy_dictionaries,Continuum Philosophy Dictionaries,Continuum Philosophy Dictionaries
948,brill_s_studies_in_intellectual_history,Brill's Studies in Intellectual History,Brill's Studies in Intellectual History
949,e_tudes_et_essais_sur_la_renaissance,{\'E}tudes et essais sur la Renaissance,Études et essais sur la Renaissance
950,new_waves_in_philosophy,New Waves in Philosophy,New Waves in Philosophy
951,clarendon_aristotle_series_ed_j_l_ackrill,"Clarendon Aristotle Series, ed.~J.L.~Ackrill","Clarendon Aristotle Series, ed. J.L. Ackrill"
952,contretemps,Contretemps,Contretemps
953,cambridge_mathematical_textbooks,Cambridge Mathematical Textbooks,Cambridge Mathematical Textbooks
954,the_collected_papers_of_bertrand_russell_the_mcmaster_university_edition,"The Collected Papers of Bertrand Russell, The McMaster University Edition","The Collected Papers of Bertrand Russell, The McMaster University Edition"
955,contemporary_scholasticism,Contemporary Scholasticism,Contemporary Scholasticism
956,materialien_zur_geschichte_der_sprachwissenschaft_und_der_semiotik,Materialien zur Geschichte der Sprachwissenschaft und der Semiotik,Materialien zur Geschichte der Sprachwissenschaft und der Semiotik
957,perspectives_in_continental_philosophy,Perspectives in Continental Philosophy,Perspectives in Continental Philosophy
958,key_topics_in_semantics_and_pragmatics,Key Topics in Semantics and Pragmatics,Key Topics in Semantics and Pragmatics
