id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
145677,article,sainsbury:1998a,,,1998,,Indexicals and Reported Speech,Indexicals and Reported Speech,,,,proceedings-of-the-british-academy,95,,45--69,,,,,,,,,Reprinted in \citet[137--158]{sainsbury:2002} and in \citet[209--234]{baldwin_t-smiley:2004},Reprinted in and in Baldwin and Smiley (2004),,,,,,,,,,false,,sainsbury,,,1:properties;2:internal_external_properties
145678,article,sainsbury:1999,,,1999,,"Names, Fictional Names, and ``Really''","Names, Fictional Names, and “Really”",,,,proceedings-of-the-aristotelian-society-supplementary-volume,73,,243--269,,,,,,,,,Reprinted in \citet[159--180]{sainsbury:2002},Reprinted in,,,,,,,,,,false,,sainsbury,,,1:ontology;2:abstract_objects;3:ficta
145679,incollection,sainsbury:2000,,,2000,,"Warrant-Transmission, Defeaters and Disquotation [on \citet{wright_c:2000a}]","Warrant-Transmission, Defeaters and Disquotation [on Wright (2000)]",,,,,,,191--200,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:epistemology;2:epistemic_internalism_externalism
145680,book,sainsbury:2001,,,2001,,Logical Forms: An Introduction to Philosophical Logic,Logical Forms: An Introduction to Philosophical Logic,,,,,,,,,,Oxford,,,blackwell-publishers,,2,First edition: \citet{sainsbury:1991},First edition: Sainsbury (1991),,,,,,,,,,false,,sainsbury,,,1:logic;2:logic_course
145681,incollection,sainsbury:2001a,,,2001,,Knowing Meanings and Knowing Entities,Knowing Meanings and Knowing Entities,,,,,,,106--115,,,,,,,,,Reprinted in \citet[181--191]{sainsbury:2002},Reprinted in,,,,,,,,,,false,,sainsbury,,,1:language;2:knowledge_of_language;3:knowledge_of_meaning
145682,article,sainsbury:2001b,,,2001,,Two Ways to Smoke a Cigarette,Two Ways to Smoke a Cigarette,,,,ratio,14,4,386--406,,,,,,,,,Reprinted in \citet[192--204]{sainsbury:2002},Reprinted in,,,,,,,,,,false,,sainsbury,,,1:exemplification;2:events;3:adverbial_modifiers_of_events
145683,incollection,sainsbury:2002a,,,2002,,What Logic should we Think with?,What Logic should we Think with?,,,,,,,1--17,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,2:cognition
145684,incollection,sainsbury:2002b,,,2002,,Reference and Anaphora,Reference and Anaphora,,,,,,,43--71,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:reference
145685,incollection,sainsbury:2004,,,2004,,Option Negation and Dialetheias,Option Negation and Dialetheias,,,,,,,85--92,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:truth;2:dialetheism
145686,article,sainsbury:2004a,,,2004,,Sameness and Difference of Sense [replies to \citet{koelbel:2004a} and \citet{textor:2004a}],Sameness and Difference of Sense [replies to Kölbel (2004) and Textor (2004)],,,,philosophical-books,45,3,209--217,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:representation;2:fregean_sense
145687,incollection,sainsbury:2004b,,,2004,,Referring Descriptions,Referring Descriptions,,,,,,,369--389,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:reference;2:definite_descriptions
