id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
184748,article,yolton:1985,,,1985,,Some Remarks on the Historiography of Philosophy,Some Remarks on the Historiography of Philosophy,,,,journal-of-the-history-of-philosophy,23,4,571--578,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:history_of_philosophy;2:why_history_of_philosophy
184749,article,yolton:1987,,,1987,,French Materialist Disciples of Locke,French Materialist Disciples of Locke,,,,journal-of-the-history-of-philosophy,25,1,83--104,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:mind_body
184750,book,yolton:1991,,,1991,,Locke and French Materialism,Locke and French Materialism,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780198242741.001.0001,,,false,,yolton,,,
184751,incollection,yolton:1991a,,,1991,,Empiricism,Empiricism,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:metaphysics;2:empiricism
184752,book,yolton:1993,,,1993,,A Locke Dictionary,A Locke Dictionary,,,,,,,,,blackwell_philosopher_dictionaries,Oxford,,,blackwell-publishers,,,,,,,,,,,,,,false,,yolton,,,1:history_of_philosophy
184753,book,yolton:1996,,,1996,,Perception and Reality: A History from Descartes to Kant,Perception and Reality: A History from Descartes to Kant,,,,,,,,,,"Ithaca, New York",,,cornell-university-press,,,,,,,,,,,,,,false,,yolton,,,1:perception
184754,incollection,yolton:1998,,,1998,,Locke: Education for Virtue,Locke: Education for Virtue,,,,,,,172--188,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:pedagogy
184755,book,yolton:2000,,,2000,,Realism and Appearances: An Essay in Ontology,Realism and Appearances: An Essay in Ontology,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,,false,,yolton,,,1:perception;2:appearances
184756,incollection,yolton:2000a,,,2000,,Replies to My Fellow Symposiasts,Replies to My Fellow Symposiasts,,,,,,,576--587,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:representation;2:ideas
184757,book,yolton:2004,,,2004,,"The Two Intellectual Worlds of John Locke.~Man, Person, and Spirits in the ``Essay''","The Two Intellectual Worlds of John Locke. Man, Person, and Spirits in the “Essay”",,,,,,,,,,"Ithaca, New York",,,cornell-university-press,,,,,,,,,,,,,,false,,yolton,,,1:persons;2:self
184758,book,yona_s-davis:2022,,,2022,,Epicurus in Rome: Philosophical Perspectives in the Ciceronian Age,Epicurus in Rome: Philosophical Perspectives in the Ciceronian Age,Epicurus in Rome: Philosophical Perspectives in the Ciceronian Age,Epicurus in Rome: Philosophical Perspectives in the Ciceronian Age,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781009281416,,,false,,,yona_s;davis_g,,1:history_of_philoosophy
184759,book,yona_s:2018,,,2018,,Epicurean Ethics in Horace: The Psychology of Satire,Epicurean Ethics in Horace: The Psychology of Satire,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,,false,,yona_s,,,1:ethics
184760,incollection,yonezawa_s:1991,,,1991,,Socrates and Natural Science,Socrates and Natural Science,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,yonezawa_s,,,1:science
184761,article,yonezawa_s:2012,,,2012,,Socratic Courage in Plato's Socratic Dialogues,Socratic Courage in Plato's Socratic Dialogues,,,,british-journal-for-the-history-of-philosophy,20,4,645--665,,,,,,,,,,,,,,,,,,,,false,,yonezawa_s,,,1:ethics;3:courage
184762,article,yong:2014,,,2014,,"God, Totality and Possibility in Kant's \emph{Only Possible Argument}","God, Totality and Possibility in Kant's Only Possible Argument",,,,kantian-review,19,1,27--51,,,,,,,,,,,,,,,,,,,,false,,yong,,,1:modality;2:grounding_of_modality
184763,UNKNOWN,yong:2015,,,2015,,Hegel and the Given: A Phenomenological Interpretation of Hegel's Philosophy,Hegel and the Given: A Phenomenological Interpretation of Hegel's Philosophy,,,,,,,,,,"San Diego, California",,university_of_california_at_san_diego,,PhD dissertation,,,,,,,,,,,,,false,,yong,,,1:epistemology;2:intuitions_as_reasons
184764,UNKNOWN,yoo_ej:1997,,,1997,,Quantifiers and Wh-Interrogatives in the Syntax-Semantics Interface,Quantifiers and Wh-Interrogatives in the Syntax-Semantics Interface,,,,,,,,,,"Columbus, Ohio",,ohio_state_university,,PhD dissertation,,,,,,,,,,,,,false,,yoo_ej,,,1:language;2:quantifiers;3:nl_quantifiers
184765,incollection,yoo_j:2009,,,2009,,Anomalous Monism,Anomalous Monism,,,,,,,95--108,,,,,,,,,,,,,,,,,,,,false,,yoo_j,,,1:mind_body;2:anomalous_monism
184766,article,yoon_b:2000,,,2000,,Intentionality of Perceptual Experience,Intentionality of Perceptual Experience,,,,erkenntnis,52,,339--355,,,,,,,,,,,,,,,,,,,,false,,yoon_b,,,1:perception;2:perceptual_content;3:perceptual_intentionality
184767,book,yoon_j:1996,,,1996,,Proceedings of the 5th annual meeting of the Formal Linguistics Society of the Midwest,Proceedings of the 5th annual meeting of the Formal Linguistics Society of the Midwest,Proceedings of the 5th annual meeting of the Formal Linguistics Society of the Midwest,Proceedings of the 5th annual meeting of the Formal Linguistics Society of the Midwest,,,,,,,,?,,,studies-in-the-linguistic-sciences,,,,,,,,,,,,,,false,,,yoon_j,,1:linguistics
