id,school_key,name_latex,name_unicode
226,philosophy_department_university_of_queensland,"Philosophy Department, University of Queensland","Philosophy Department, University of Queensland"
227,tilburg_university,Tilburg University,Tilburg University
228,claremont_graduate_school_and_university_center,Claremont Graduate School and University Center,Claremont Graduate School and University Center
229,university_of_iowa,University of Iowa,University of Iowa
230,computer_science_department_university_of_toronto,"Computer Science Department, University of Toronto","Computer Science Department, University of Toronto"
231,philosophy_department_australian_national_university,"Philosophy Department, Australian National University","Philosophy Department, Australian National University"
232,universit_e_de_bruxelles,Universit{\'e} de Bruxelles,Université de Bruxelles
233,university_of_california_department_of_philosophy,"University of California, Department of Philosophy","University of California, Department of Philosophy"
234,university_of_wisconsin_at_madison,University of Wisconsin at Madison,University of Wisconsin at Madison
235,massachusetts_institute_of_technology_department_of_linguistics_and_philosophy,"Massachusetts Institute of Technology, Department of Linguistics and Philosophy","Massachusetts Institute of Technology, Department of Linguistics and Philosophy"
236,universit_e_de_paris_i_d_e_partement_de_philosophie,"Universit{\'e} de Paris I, D{\'e}partement de philosophie","Université de Paris I, Département de philosophie"
237,university_of_california_santa_cruz_department_of_linguistics,"University of California, Santa Cruz, Department of Linguistics","University of California, Santa Cruz, Department of Linguistics"
238,university_of_pennsylvania,University of Pennsylvania,University of Pennsylvania
239,geisteswissenschaftliche_fakult_a_t_der_karl_franzens_universit_a_t_graz,"Geisteswissenschaftliche Fakult{\""a}t der Karl-Franzens-Universit{\""a}t Graz",Geisteswissenschaftliche Fakultät der Karl-Franzens-Universität Graz
240,philosophy_department_monash_university,"Philosophy Department, Monash University","Philosophy Department, Monash University"
241,d_e_partement_de_philosophie_universit_e_de_fribourg,"D{\'e}partement de Philosophie, Universit{\'e} de Fribourg","Département de Philosophie, Université de Fribourg"
242,linguistics_department_stanford_university,"Linguistics Department, Stanford University","Linguistics Department, Stanford University"
243,department_of_computer_science_duke_university,"Department of Computer Science, Duke University","Department of Computer Science, Duke University"
244,new_york_university,New York University,New York University
245,philosophy_department_university_of_iowa,"Philosophy Department, University of Iowa","Philosophy Department, University of Iowa"
246,institute_for_applied_mathematics_iam_universit_a_t_bern,"Institute for Applied Mathematics IAM, Universit{\""a}t Bern","Institute for Applied Mathematics IAM, Universität Bern"
247,universit_a_t_salzburg,"Universit{\""a}t Salzburg",Universität Salzburg
248,faculteit_letteren_en_wijsbegeerte_universiteit_gent,"Faculteit Letteren en Wijsbegeerte, Universiteit Gent","Faculteit Letteren en Wijsbegeerte, Universiteit Gent"
249,department_of_computer_science_university_of_rome_la_sapienza,"Department of Computer Science, University of Rome ``La Sapienza''","Department of Computer Science, University of Rome “La Sapienza”"
250,center_for_the_study_of_language_and_information,Center for the Study of Language {and} Information,Center for the Study of Language and Information
251,faculty_of_mathematics_and_informatics_university_of_leipzig,"Faculty of Mathematics and Informatics, University of Leipzig","Faculty of Mathematics and Informatics, University of Leipzig"
252,philosophy_department_western_sydney_university,"Philosophy Department, Western Sydney University","Philosophy Department, Western Sydney University"
253,philosophy_department_florida_state_university,"Philosophy Department, Florida State University","Philosophy Department, Florida State University"
254,yale_university,Yale University,Yale University
255,philosophy_department_princeton_university,"Philosophy Department, Princeton University","Philosophy Department, Princeton University"
256,philosophische_fakult_a_t,"Philosophische Fakult{\""a}t",Philosophische Fakultät
257,computer_science_department_stanford_university,"Computer Science Department, Stanford University","Computer Science Department, Stanford University"
258,school_of_philosophy_university_of_melbourne,"School of Philosophy, University of Melbourne","School of Philosophy, University of Melbourne"
259,katholieke_universiteit_leuven,Katholieke Universiteit Leuven,Katholieke Universiteit Leuven
260,group_in_logic_and_methodology_of_science_the_university_of_california_at_berkeley,"Group in Logic and Methodology of Science, the University of California at Berkeley","Group in Logic and Methodology of Science, the University of California at Berkeley"
261,university_of_texas_at_austin,University of Texas at Austin,University of Texas at Austin
